id,fixture,n,strategy,seed,location,status,supply_peak_kw,delivered_energy_kwh,unmet_energy_kwh,min_voltage_pu,grid_violation_steps
faeb7d05cbd8c751ce88,2025-12-1-as_supplied-normal,0,capacity_aware,61003,home,failed,231949.31066031588,0,0,0.9366128671186653,19
fb3fba3fb08b0bbda5b9,2025-11-1-as_supplied-normal,0,immediate,61001,home,failed,208743.80063135515,0,0,0.9472392671012867,8
fb879da860eb8ef6708c,2025-06-1-as_supplied-normal,12500,immediate,61002,home,passed,191869.68057245394,175000.0,0,0.9556926100948926,0
fbe18274c483f34ddcce,2025-06-1-as_supplied-normal,27500,capacity_aware,61001,work,passed,178655.10444270144,385000.0,0,0.9519692175420075,0
fc430aba5d4eaf4238f9,2025-06-1-as_supplied-normal,2000,immediate,61001,home,failed,152988.81702624648,28000.0,0,0.9345962385652905,12
fc5f28a83353837f70e2,2025-06-1-as_supplied-normal,47500,capacity_aware,61002,home,passed,194705.43587928175,665000.0,0,0.9507287526478082,0
fcf5f3bb3100884bb1bd,2025-06-1-as_supplied-normal,28500,capacity_aware,61003,work,failed,178833.64575467564,398652.52000000025,347.4799999999984,0.9500851225456479,0
fd08475b71b6de45f4e4,2025-06-1-as_supplied-normal,10000,fixed_delay,61002,home,failed,201680.99547309513,140000.0,0,0.9558553067049357,8
fe3453c244559f520ad6,2025-06-1-as_supplied-normal,1000,immediate,61002,public,passed,146761.71207715114,14000.0,0,0.9719661941370781,0
feaaa0696320e6b01ad6,2025-06-1-as_supplied-normal,10000,fixed_delay,61003,home,failed,201697.79511599717,140000.0,0,0.9535742462369042,8
feb0ca0538a0a4129db1,2025-06-1-as_supplied-normal,5000,capacity_aware,61003,home,passed,164659.8521664629,70000.0,0,0.9649207838028733,0
ffa508e35383b7cd45da,2025-12-1-as_supplied-normal,1000,immediate,61003,mixed,failed,234756.19431992288,14000.0,0,0.9349526104008176,19
